Frequency,Time (dB SPL),FFT (dB SPL),Calibrated Time (dB SPL),Calibrated FFT (dB SPL),Normalization (dB SPL),THD,TestSignal 0.1V=96.5dB SPL
2462,85.238,85.2166,No Data, No Data,11.27178,-69.5049,
2505,84.63067,84.6094,No Data, No Data,11.87902,-67.8987,
2548,84.06714,84.0409,No Data, No Data,12.44748,-69.6429,
2591,83.53363,83.5073,No Data, No Data,12.98109,-67.0186,
2634,83.28129,83.2523,No Data, No Data,13.23608,-67.7143,
2677,82.78877,82.7656,No Data, No Data,13.72282,-64.7909,
2720,82.34133,82.3059,No Data, No Data,14.18253,-63.3885,
2763,81.89714,81.8711,No Data, No Data,14.61734,-62.3168,
2806,81.49272,81.4601,No Data, No Data,15.02832,-60.8021,
2849,81.30492,81.2631,No Data, No Data,15.22533,-60.3969,
2892,80.93996,80.8845,No Data, No Data,15.60397,-58.0938,
2935,80.57547,80.5255,No Data, No Data,15.96289,-54.5982,
2978,80.236,80.1863,No Data, No Data,16.30216,-52.8308,
3021,79.90447,79.8653,No Data, No Data,16.6231,-52.4239,
3064,79.59952,79.5628,No Data, No Data,16.92561,-53.0038,
3107,79.46605,79.4167,No Data, No Data,17.07173,-54.5703,
